id,phase,priority,workstream,task,depends_on,acceptance_gate,status
R001,R1,P0,foundation,Create machine-readable paper registry,,automated test,DONE
R002,R1,P0,foundation,Vendor user-provided papers into research folder,,automated test,DONE
R003,R1,P0,foundation,Implement Fienia-style lap strategy state/action model,,automated test,DONE
R004,R1,P0,foundation,Implement strategy feasibility projection,,automated test,DONE
R005,R1,P0,foundation,Implement dependency-free strategy environment,,automated test,DONE
R006,R1,P0,foundation,Implement four-wheel tyre-energy proxy,,automated test,DONE
R007,R1,P0,foundation,Implement event-safe tyre forecasting windows,,automated test,DONE
R008,R1,P0,foundation,Implement ridge/GRU forecasting protocol and metrics,,automated test,DONE
R009,R1,P0,foundation,Implement latent tyre degradation starter,,automated test,DONE
R010,R1,P0,foundation,Implement unified strategy interface,,automated test,DONE
R011,R1,P0,foundation,Define future game evidence contract,,automated test,DONE
R012,R1,P0,replication,Create symbol-to-code equation table for FIENI_2025,,reviewed equation map,TODO
R013,R1,P0,replication,Add hand-calculated FIENI transition fixture,equation table,numeric match within 1e-9,TODO
R014,R1,P0,replication,Implement exact enumeration oracle for tiny races,strategy model,identical to beam search on tiny cases,TODO
R015,R1,P0,optimization,Implement CasADi continuous lap-map surrogate,equation table,gradient and bound tests,TODO
R016,R1,P1,optimization,Implement open-source MINLP path or documented solver adapter,CasADi maps,small-case optimum recovered,TODO
R017,R1,P0,RL,Train SAC on identical FIENI environment,exact oracle,regret/runtime reported,TODO
R018,R1,P0,replication,Reconstruct nominal and disturbance paper scenarios,SAC + oracle,directional/published tolerance report,TODO
R019,R2,P0,data,Build immutable FastF1/OpenF1 event manifests,,"hashes, versions and schemas stored",TODO
R020,R2,P0,data,Create permanent untouched benchmark event set,event manifests,no benchmark used in calibration,TODO
R021,R2,P0,tyres,Fit fuel-corrected latent tyre degradation model,public lap/stint data,rolling-origin held-out metrics,TODO
R022,R2,P1,tyres,Add Bayesian hierarchical compound/track/driver model,latent starter,posterior predictive calibration,TODO
R023,R2,P1,tyres,Add robust skewed-t observation model,Bayesian model,CRPS/RMSPE improvement or reject,TODO
R024,R2,P0,forecasting,Build tyre-energy proxy dataset with provenance,canonical telemetry,measured/proxy flags complete,TODO
R025,R2,P0,forecasting,"Benchmark linear, ridge, XGBoost, GRU, LSTM and TFT",proxy dataset,matched train/test protocol,TODO
R026,R2,P0,forecasting,Evaluate seen versus unseen tracks,forecast benchmark,separate confidence intervals,TODO
R027,R2,P1,XAI,Implement temporal perturbation/TIME-like explanations,forecast models,faithfulness tests,TODO
