paper_id,title,year,domain,priority,implementation_stage,apex_module,validation_target,source_url,local_pdf,notes
FIENI_2025,Towards Learning-Based Formula 1 Race Strategies,2025,joint strategy/energy/tyres,P0,RUNNABLE_SURROGATE,apexsim.research.fienia_strategy,MINLP/RL regret and disturbance response,https://arxiv.org/abs/2512.21570,research/user_provided_papers/learning-based-f1-strategies.pdf,
TODD_2025,Explainable Time Series Prediction of Tyre Energy in Formula One Race Strategy,2025,tyre energy forecasting/XAI,P0,RUNNABLE_PROXY_PROTOCOL,apexsim.research.tyre_energy; apexsim.research.tyre_forecasting,"seen/unseen-track RMSE, SMAPE, explanation faithfulness",https://doi.org/10.1145/3672608.3707765,research/user_provided_papers/tyre-energy-in-F1.pdf,
HEILMEIER_2018,A Race Simulation for Strategy Decisions in Circuit Motorsports,2018,race simulation,P0,ENGINE_CROSSWALK,apexsim.sim_core.race,lap/position replay and runtime,https://doi.org/10.1109/ITSC.2018.8570012,,
HEILMEIER_2020_MC,Application of Monte Carlo Methods to Consider Probabilistic Effects in a Race Simulation for Circuit Motorsport,2020,stochastic race simulation,P0,ENGINE_CROSSWALK,apexsim.sim_core.strategy; apexsim.sim_core.weather,distribution calibration and strategy rank stability,https://doi.org/10.3390/app10124229,,
HEILMEIER_2020_VSE,Virtual Strategy Engineer,2020,strategy imitation,P1,PROTOCOL_DEFINED,apexsim.research.unified_race,pit/no-pit and compound decision calibration,https://doi.org/10.3390/app10217805,,
DUHR_2023,Minimum-Race-Time Energy Allocation Strategies for the Hybrid-Electric Formula 1 Power Unit,2023,hybrid energy optimization,P0,PROTOCOL_DEFINED,apexsim.research.fienia_strategy,energy terminal constraints and shrinking-horizon response,https://doi.org/10.1109/TVT.2023.3237388,,
HEINE_2023,On the Optimization of Pit Stop Strategies via Dynamic Programming,2023,dynamic programming,P1,PLANNED,apexsim.sim_core.strategy,recover exact small-instance optimum,https://doi.org/10.1007/s10100-021-00768-5,,
AGUAD_2024,Optimizing Pit Stop Strategies in Formula 1 with Dynamic Programming and Game Theory,2024,multi-agent strategy,P1,PLANNED,apexsim.sim_core.race; apexsim.sim_core.strategy,two-car equilibrium and risk-taking objectives,https://doi.org/10.1016/j.ejor.2024.06.026,,
THOMAS_2025,Explainable Reinforcement Learning for Formula One Race Strategy,2025,race-strategy RL/XAI,P0,INTERFACE_IMPLEMENTED,apexsim.research.unified_race,"finishing-position baseline, seen/unseen tracks, XAI fidelity",https://doi.org/10.1145/3672608.3707766,,
FIENI_2026_MULTI,Learning-based Multi-agent Race Strategies in Formula 1,2026,multi-agent energy/tyres/aero,P0,PLANNED,apexsim.sim_core.race; apexsim.research.fienia_strategy,self-play robustness and opponent response,https://arxiv.org/abs/2602.23056,,
